Company Name ,Duration,Seed,Series A,Operational Cost,Total Fund,Revenue,Profit,Userbase,Daily Active User,ROE,Net Profit Margin,Valuation,,
Walton ,0,750000,0,120000,1000000,520000,400000,200000,46000,0,77%,1400000,,
Walton ,0.5,,0,140500,1200000,520000,379500,200000,46000,0,73%,1579500,,
Walton ,1,0,1336500,160700,1350000,520000,359300,200000,46000,0,69%,1709300,,
Walton ,1.5,0,,220000,1390000,520000,300000,200000,46000,0,58%,1690000,,
Walton ,2,0,,260000,1400000,520000,260000,200000,46000,0,50%,1660000,,
Walton ,2.5,0,0,320000,1430000,520000,200000,200000,46000,0,38%,1630000,,
Walton ,3,0,0,300251,1700000,920000,619749,500000,115000,0,67%,2319749,,
Walton ,3.5,0,0,350205,2500000,920000,569795,500000,115000,0,62%,3069795,,
Walton ,4,0,0,300000,2520000,920000,620000,500000,115000,0,67%,3140000,,
Walton ,4.5,0,0,390000,2730000,920000,530000,500000,115000,0,58%,3260000,,
Walton ,5,0,0,420000,2740000,920000,500000,500000,115000,0,54%,3240000,,
Walton ,5.5,0,0,460050,2740000,920000,459950,500000,115000,0,50%,3199950,,
Walton ,6,0,0,516000,2740000,920000,404000,500000,115000,0,44%,3144000,,
Walton ,6.5,0,0,550000,2800000,920000,370000,500000,115000,0,40%,3170000,,
Walton ,7,0,0,632000,2820000,920000,288000,500000,115000,0,31%,3108000,,
Walton ,7.5,0,0,680300,2810000,920000,239700,500000,115000,0,26%,3049700,,
Walton ,8,0,0,720000,3500000,920000,200000,700000,161000,0,22%,3700000,,
Walton ,8.5,0,0,770000,3900000,1120000,350000,700000,161000,0,31%,4250000,,
Walton ,9,0,0,740000,5500000,1120000,380000,700000,161000,0,34%,5880000,,
Walton ,9.5,0,0,710800,5600502,1120000,409200,700000,161000,0,37%,6009702,,
Walton ,10,0,0,850000,5600570,1120000,270000,700000,161000,0,24%,5870570,,
Walton ,10.5,0,0,920600,5750000,1120000,199400,700000,161000,0,18%,5949400,,
Walton ,11,0,0,940000,5820000,1120000,180000,700000,161000,0,16%,6000000,,
Walton ,11.5,0,0,993005,5800500,1120000,126995,700000,161000,0,11%,5927495,,
Walton ,12,0,0,900000,5820000,1120000,220000,700000,161000,0,20%,6040000,,
Walton ,12.5,0,0,990260,5890003,1120000,129740,700000,161000,0,12%,6019743,,
Walton ,13,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,13.5,0,0,1600000,5500000,1120000,-480000,700000,161000,0,-43%,5020000,,
Walton ,14,0,0,1400000,5500000,1120000,-280000,700000,161000,0,-25%,5220000,,
Walton ,14.5,0,0,1700500,5500000,1120000,-580500,700000,161000,0,-52%,4919500,,
Walton ,15,0,0,1802000,5500000,1120000,-682000,700000,161000,0,-61%,4818000,,
Walton ,15.5,0,0,1100000,5500000,1120000,20000,700000,161000,0,2%,5520000,,
Walton ,16,0,0,1150000,5500000,1120000,-30000,700000,161000,0,-3%,5470000,,
Walton ,16,0,0,1270000,5500000,1120000,-150000,700000,161000,0,-13%,5350000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1330000,6000000,1220000,-110000,900000,207000,0,-9%,5890000,,
Walton ,17,0,0,1350000,6000000,1220000,-130000,900000,207000,0,-11%,5870000,,
Walton ,17,0,0,1380000,6000000,1220000,-160000,900000,207000,0,-13%,5840000,,
Walton ,17,0,0,1340000,6000000,1220000,-120000,900000,207000,0,-10%,5880000,,
Walton ,17,0,0,1346000,6000000,1220000,-126000,900000,207000,0,-10%,5874000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1360000,6000000,1220000,-140000,900000,207000,0,-11%,5860000,,
Walton ,17,0,0,1380000,6000000,1220000,-160000,900000,207000,0,-13%,5840000,,
Walton ,17,0,0,1388000,6000000,1220000,-168000,900000,207000,0,-14%,5832000,,
Walton ,17,0,0,1300800,6000000,1220000,-80800,900000,207000,0,-7%,5919200,,
Walton ,17,0,0,1400000,6000000,1220000,-180000,900000,207000,0,-15%,5820000,,
Walton ,17.5,0,0,1550000,6500000,1955000,405000,920000,211600,0,21%,6905000,,
Walton ,17.5,0,0,1550000,6500000,1955000,405000,920000,211600,0,21%,6905000,,
Walton ,17.5,0,0,1550800,6500000,1955000,404200,920000,211600,0,21%,6904200,,
Walton ,17.5,0,0,1550900,6500000,1955000,404100,920000,211600,0,21%,6904100,,
Walton ,17.5,0,0,1550200,6500000,1955000,404800,920000,211600,0,21%,6904800,,
Walton ,17.5,0,0,1550000,6500000,1955000,405000,920000,211600,0,21%,6905000,,
Walton ,17.5,0,0,1550000,6500000,1955000,405000,920000,211600,0,21%,6905000,,
Walton ,17.5,0,0,1550000,6500000,1955000,405000,920000,211600,0,21%,6905000,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,17.5,0,0,1592800,6500000,1955000,362200,920000,211600,0,19%,6862200,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,17.5,0,0,1592700,6500000,1955000,362300,920000,211600,0,19%,6862300,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,17.5,0,0,1592000,6500000,1955000,363000,920000,211600,0,19%,6863000,,
Walton ,18,0,0,1620000,6900000,2055000,435000,940000,216200,0,21%,7335000,,
Walton ,18,0,0,1620000,6900000,2055000,435000,940000,216200,0,21%,7335000,,
Walton ,18,0,0,1620000,6900000,2055000,435000,940000,216200,0,21%,7335000,,
Walton ,18,0,0,1620000,6900000,2055000,435000,940000,216200,0,21%,7335000,,
Walton ,18,0,0,1620000,6900000,2055000,435000,940000,216200,0,21%,7335000,,
Walton ,18,0,0,1654000,6900000,2055000,401000,940000,216200,0,20%,7301000,,
